W	PRON	NL	NN	NPN	BFNT	TFNT	NP
sprake	spr1k	6	0	3	288800	44689	5
ilch	IlJ	4	2	3	314249	282	3
gnoce	n5s	5	1	16	297584	898	3
vigue	vIg	5	2	13	105926	4481	3
blarmn	bl#m	6	0	2	388146	25403	4
slill	slIl	5	4	10	434619	70534	4
pimf	pImf	4	1	3	105991	55	4
thighm	T2m	6	1	12	2435036	183199	3
whumn	wVm	5	0	19	268791	1006	3
chish	JIS	5	0	9	1064273	191450	3
bleam	blim	5	4	9	430041	42321	4
peimb	p1m	5	0	24	205531	1746	3
grylb	grIlb	5	0	3	56258	0	5
toose	tus	5	5	13	1437565	68348	3
freiff	fr1f	6	0	5	635389	9585	4
yerce	j3s	5	0	9	387106	7554	3
coage	k5_	5	0	12	187464	13227	3
stunge	stVn_	6	0	3	477703	28470	5
theabe	Tib	6	0	2	4037703	1338195	3
thwit	TwIt	5	0	3	2444617	120432	4
clerce	kl3s	6	0	1	505931	14724	4
trysp	trIsp	5	1	2	119171	4318	5
yeuf	juf	4	0	13	55036	0	3
psive	s2v	5	0	19	241668	31610	3
slinn	slIn	5	2	9	567789	12517	4
ghake	g1k	5	1	22	838674	38381	3
prizz	prIz	5	2	14	97496	8153	4
yulth	jVlT	5	0	0	2025761	4394	4
plile	pl2l	5	0	3	381846	23039	4
phalve	f{lv	6	0	2	853245	16256	4
cheesh	JiS	6	1	7	2459404	29441	3
verl	v3l	4	3	19	412483	385	3
volk	vQlk	4	4	0	81434	531	4
maich	m1J	5	2	17	485636	62517	3
gylve	gIlv	5	0	5	159819	2908	4
mobe	m5b	4	9	13	272937	943	3
gleve	gliv	5	2	7	300244	1358	4
smurve	sm3v	6	0	2	291510	4659	4
snight	sn2t	6	2	8	279723	151326	4
twarve	tw#v	6	0	1	682340	14851	4
gemp	_Emp	4	4	5	132612	161	4
trourm	tr9m	6	0	3	777688	97845	4
stulck	stVlk	6	0	1	449183	2794	5
stese	stis	5	1	6	765699	42754	4
slolch	slQlJ	6	1	0	365373	2767	5
whuch	wVJ	5	1	10	500545	38220	3
sname	sn1m	5	3	2	294232	45343	4
sarque	s#k	6	1	24	374828	2503	3
creng	krEN	5	0	1	700149	13008	4
clurph	kl3f	6	0	2	131897	3317	4
theak	Tik	5	1	20	3905362	1345280	3
phrilv	frIlv	6	0	2	235523	3356	5
neilt	n1lt	5	0	3	365417	4617	4
krant	kr{nt	5	1	4	848068	31931	5
shroil	Sr4l	6	0	2	520626	26743	4
gloite	gl4t	6	0	2	585865	21993	4
hine	h2n	4	17	29	990206	51075	3
shenge	SEn_	6	0	0	2263125	172726	4
yugue	jVg	5	1	13	78182	4491	3
sweamb	swim	6	0	10	459042	14366	4
gwaugn	gw9n	6	0	2	321150	5435	4
fleigg	fl1g	6	0	8	288627	7688	4
scrich	skrIJ	6	0	3	393621	70508	5
veash	viS	5	1	3	949588	22011	3
toonn	tun	5	0	26	1373080	38687	3
sloon	slun	5	3	8	505403	37629	4
spoch	spQJ	5	0	4	266788	5488	4
trirgn	tr3n	6	0	1	256165	11023	4
keult	kult	5	0	6	263127	1045	4
smy	sm2	3	7	5	63139	0	3
cleip	kl1p	5	0	6	240747	7160	4
wroile	r4l	6	0	15	475054	32365	3
bleig	bl1g	5	0	4	288127	6615	4
morth	m9T	5	7	19	2385152	65647	3
thrynt	TrInt	6	0	2	2007774	33030	5
huth	hVT	4	3	14	2073701	13655	3
pon	pQn	3	17	26	281956	535	3
ghoav	g5v	5	0	14	421059	922	3
bruith	bruT	6	0	9	2339071	134143	4
phrev	frEv	5	0	2	434266	14115	4
blourg	bl9g	6	0	0	632083	59346	4
leigg	l1g	5	0	18	271538	5288	3
sckone	sk5n	6	0	7	511826	78065	4
blawsh	bl9S	6	0	1	304206	14411	4
chig	JIg	4	7	17	628903	17691	3
slunn	slVn	5	2	11	90292	3756	4
spanch	sp{nJ	6	1	3	1020657	22004	5
sckuzz	skVz	6	0	12	88621	176	4
twenn	twEn	5	0	4	412559	13211	4
kuiff	kuf	5	1	22	108313	1172	3
sirlt	s3lt	5	0	4	185698	10688	4
twike	tw2k	5	3	4	375761	39316	4
frache	fr{S	6	0	6	2201123	43630	4
dowle	d6l	5	0	19	442882	23166	3
whelgn	wEln	6	0	9	2078582	77022	4
hiel	h2l	4	4	32	475169	6458	3
spleeg	splig	6	1	1	389309	8061	5
dwarch	dw#J	6	0	0	706781	20770	4
keamn	kim	5	0	22	404641	7749	3
treath	triT	6	3	5	2970220	95829	4
reln	rEln	4	1	1	470516	0	4
woogn	wun	5	0	28	274077	2404	3
seigg	s1g	5	0	12	383502	5793	3
prarve	pr#v	6	0	1	486354	7878	4
gnimn	nIm	5	0	22	110779	5	3
ghrye	gr2	5	0	7	205604	90	3
ghlem	glEm	5	0	5	302716	16	4
freuc	fruk	5	1	4	533003	8098	4
psull	sVl	5	0	28	369354	9552	3
spoge	sp5_	5	3	2	129508	5372	4
skrier	skr7	6	0	2	372285	15393	4
broute	br6t	6	0	10	899282	107594	4
shelse	SEls	6	1	5	2261240	107980	4
dwowl	dw6l	5	0	1	273899	1360	4
clomb	klQm	5	1	11	281952	15763	4
wriebb	r2b	6	0	22	123776	17804	3
peamn	pim	5	0	27	324991	13016	3
slaf	sl{f	4	7	9	116007	1934	4
venk	vENk	4	1	0	396922	79	4
clagg	kl{g	5	1	12	151520	9343	4
slarg	sl#g	5	1	4	365919	16890	4
swook	swuk	5	5	4	321838	42530	4
pralf	pr{lf	5	0	0	228218	8817	5
gluilt	glult	6	0	0	175142	8840	5
fawtch	f9J	6	0	17	270108	11855	3
splape	spl1p	6	0	1	226695	33220	5
spasc	sp{sk	5	0	1	517160	13237	5
pheegn	fin	6	0	29	1947548	5926	3
krir	kr3	4	0	4	180366	0	3
nymn	nIm	4	1	22	1797	267	3
knync	nINk	5	0	12	73937	25	4
streug	strug	6	0	4	757262	39699	5
storn	st9n	5	7	14	1608314	23723	4
swauge	sw9_	6	0	5	392646	8517	4
thalp	T{lp	5	0	0	2593951	235835	4
thwou	Tw6	5	0	0	2442167	50296	3
swuch	swVJ	5	0	4	248606	38505	4
gluitt	glut	6	0	6	408564	11173	4
hoart	h9t	5	2	40	508377	27164	3
tert	t3t	4	11	29	373173	4339	3
boz	bQz	3	11	33	44584	0	3
dourf	d9f	5	0	8	660029	53074	3
gighm	g2m	5	0	15	201249	62963	3
chesc	JEsk	5	2	2	2140993	40716	4
gnarch	n#J	6	0	6	466579	10690	3
woinn	w4n	5	0	18	607552	11805	3
mepe	mip	4	2	24	296864	89	3
pylmn	pIlm	5	0	2	6823	0	4
proge	pr5_	5	5	5	278414	5101	4
thuic	Tuk	5	0	1	2011311	5535	3
phuilt	fult	6	0	4	174602	8663	4
rhourl	r9l	6	0	26	724774	99291	3
trate	tr1t	5	5	14	623194	41528	4
thwuil	Twul	6	0	0	2030243	4313	4
sneage	sni_	6	0	2	473154	14492	4
swautt	sw9t	6	0	14	439943	1405	4
loudge	l6_	6	1	8	601742	12950	3
squyne	skw2n	6	0	0	193959	3218	5
ghrolc	grQlk	6	0	0	394442	23703	5
swieb	sw2b	5	0	3	228330	2961	4
skuzz	skVz	5	0	12	25985	557	4
sckob	skQb	5	0	8	99515	0	4
throl	TrQl	5	2	4	2178608	56733	4
spuich	spuJ	6	0	5	349315	60214	4
throlb	TrQlb	6	0	0	2178809	56733	5
ploutt	pl6t	6	0	9	721894	58413	4
thweac	Twik	6	0	2	2375856	22849	4
geutch	_uJ	6	0	7	440975	12598	3
nodge	nQ_	5	3	13	310699	6604	3
psenk	sENk	5	0	4	507357	9629	4
quorle	kw9l	6	0	5	533967	13527	4
quainn	kw1n	6	1	7	587770	22859	4
meaph	mif	5	0	16	457434	16512	3
ghwemp	gwEmp	6	0	0	348055	111	5
swoole	swul	6	0	8	472559	27386	4
kreatt	krit	6	0	11	1016109	71813	4
trarth	tr#T	6	0	2	2308403	49864	4
jolge	_Ql_	5	0	0	145829	196	4
drause	dr9s	6	0	6	483077	76149	4
scrann	skr{n	6	0	5	820166	22252	5
zooll	zul	5	0	11	417564	15279	3
laipe	l1p	5	0	25	267721	6798	3
sief	s2f	4	1	20	89926	3488	3
tuke	tjuk	4	5	5	146360	753	4
snelmb	snElm	6	0	0	262405	612	5
phrinc	frINk	6	0	7	610949	25176	5
skirc	sk3k	5	2	5	166152	5428	4
zadge	z{_	5	3	3	251251	5924	3
strauc	str9k	6	0	6	434760	40351	5
hoque	h5k	5	1	28	229493	2392	3
nordge	n9_	6	0	12	664248	24402	3
dwoagg	dw5g	6	0	1	160851	855	4
soldge	sQl_	6	0	1	402109	38785	4
skrore	skr9	6	0	4	963877	47526	4
flelm	flElm	5	0	0	236422	2588	5
scuce	skjus	5	1	0	157710	491	5
skriph	skrIf	6	0	2	115461	3769	5
maibb	m1b	5	0	15	208068	4324	3
julmn	_Vlm	5	0	0	142907	2	4
glirg	gl3g	5	0	0	218268	569	4
smilb	smIlb	5	1	0	174037	13492	5
snulce	snVls	6	0	1	204691	181	5
rewth	ruT	5	0	19	2337653	6483	3
greunt	grunt	6	0	3	571784	22772	5
kese	kis	4	0	22	552393	28983	3
gwof	gwQf	4	1	1	646026	0	4
phaip	f1p	5	0	21	676442	7743	3
strawp	str9p	6	1	6	395167	43946	5
sckeuv	skuv	6	0	4	218726	7740	4
spone	sp5n	5	7	11	483234	83958	4
weath	wiT	5	3	17	2690989	43572	3
glale	gl1l	5	3	4	379925	12534	4
gnoash	n5S	6	0	11	799367	7619	3
neult	nult	5	0	1	304490	1045	4
phlelc	flElk	6	0	0	220448	276	5
dwerlt	dw3lt	6	0	1	450040	60837	5
glauge	gl9_	6	0	0	237705	15485	4
nelch	nElJ	5	2	2	447412	702	4
strirb	str3b	6	0	0	495217	35772	5
snaite	sn1t	6	0	9	578834	27020	4
ciell	s2l	5	0	32	328358	40547	3
twuig	twug	5	0	1	119679	0	4
quidge	kwI_	6	0	8	197867	18121	4
smeef	smif	5	0	0	438909	4784	4
flart	fl#t	5	2	8	406440	35952	4
crav	kr{v	4	4	8	176433	5411	4
slylck	slIlk	6	0	1	82546	101	5
ghror	gr9	5	0	4	693178	19716	3
veique	v1k	6	0	19	243864	2984	3
croit	kr4t	5	1	1	598797	5497	4
phoont	funt	6	0	4	669818	31088	4
skrowl	skr6l	6	0	2	364022	15080	5
scorke	sk9k	6	0	6	626571	29058	4
zeib	z1b	4	0	1	65388	0	3
blirsh	bl3S	6	0	4	442290	24374	4
staife	st1f	6	1	14	549041	50090	4
dwiet	dw2t	5	0	1	284146	49	4
plerv	pl3v	5	0	0	410912	6884	4
scirn	sk3n	5	1	11	149726	51	4
phrul	frVl	5	0	2	182528	4444	4
phrave	fr1v	6	1	9	353841	97119	4
loarnt	l9nt	6	1	12	451994	11421	4
marg	m#g	4	7	13	354298	13563	3
skralk	skr{lk	6	0	0	240596	12671	6
strirr	str3	6	0	3	496145	36033	4
brice	br2s	5	7	9	273010	27975	4
dawnch	d9nJ	6	0	6	335828	11808	4
twuice	twus	6	0	2	215508	15105	4
bredge	brE_	6	2	6	752784	27387	4
preibb	pr1b	6	0	6	472187	5617	4
skyng	skIN	5	0	10	106218	1353	4
squere	skw7	6	1	2	662004	152060	4
plirce	pl3s	6	0	3	333103	7356	4
gleiph	gl1f	6	0	2	218090	326	4
phylf	fIlf	5	0	5	24690	0	4
thorl	T9l	5	2	20	2472872	47067	3
fuiv	fuv	4	0	5	58206	0	3
creib	kr1b	5	0	9	469505	4574	4
murp	m3p	4	2	8	116256	41	3
flilge	flIl_	6	0	0	295027	2620	5
cleebe	klib	6	0	6	531079	10872	4
neane	nin	5	0	27	1273991	24004	3
yege	ji_	4	0	2	124868	150	3
swik	swIk	4	2	11	226554	2912	4
ghanc	g{Nk	5	0	12	1413708	62761	4
kning	nIN	5	0	17	590562	31311	3
bawnt	b9nt	5	0	10	186715	2717	4
skey	sk1	4	1	10	247821	10057	3
sput	spVt	4	10	14	215148	12850	4
crurbe	kr3b	6	0	2	301663	2137	4
quoock	kwuk	6	0	5	239052	11210	4
rhynge	rIn_	6	0	1	157996	13979	4
tiece	tis	5	2	20	193715	5984	3
bounte	b6nt	6	1	8	693564	45930	4
phaif	f1f	5	0	18	734491	7754	3
brylck	brIlk	6	0	2	106181	0	5
vaith	v1T	5	2	8	2372201	124801	3
squee	skwi	5	0	3	217874	7112	4
zeil	z1l	4	2	25	181382	241	3
chouce	J6s	6	1	6	950298	64527	3
gawt	g9t	4	3	37	35819	8	3
flaitt	fl1t	6	0	16	591475	14265	4
moont	munt	5	2	6	552578	20152	4
troor	tr9	5	1	8	752962	33682	3
nyng	nIN	4	0	17	79894	0	3
shrazz	Sr{z	6	0	1	257916	3417	4
gnusc	nVsk	5	0	6	158609	4	4
gwelc	gwElk	5	0	0	252513	20424	5
thoate	T5t	6	0	12	2610298	54780	3
snalge	sn{l_	6	0	0	217337	1771	5
nasp	n{sp	4	4	0	462175	1128	4
spluik	spluk	6	0	0	132246	2763	5
kroite	kr4t	6	0	1	670426	20816	4
shroan	Sr5n	6	0	9	1114715	30174	4
krurm	kr3m	5	0	5	130501	0	4
skrurv	skr3v	6	0	0	135227	468	5
knoin	n4n	5	1	12	717543	38882	3
jorme	_9m	5	0	14	625864	10587	3
warc	w#k	4	8	19	509865	13820	3
spelf	spElf	5	3	3	166550	12169	5
scoice	sk4s	6	1	1	298573	22158	4
snylse	snIls	6	0	2	281451	5386	5
visck	vIsk	5	0	4	446127	170	4
wolmb	wQlm	5	0	0	190924	201	4
pluib	plub	5	1	1	67453	1785	4
blyth	blIT	5	0	2	1915254	498	4
psooge	su_	6	0	12	341459	5133	3
cheeb	Jib	5	2	6	2131503	22281	3
clile	kl2l	5	2	3	381856	24616	4
gneic	n1k	5	0	23	316563	619	3
oalt	5lt	4	4	2	175543	6629	3
ghoalt	g5lt	6	0	10	482760	7482	4
clount	kl6nt	6	0	2	689080	59747	5
snean	snin	5	1	2	1105754	19941	4
narche	n#S	6	0	4	2213888	27305	3
geke	_ik	4	2	22	208092	155	3
slunge	slVn_	6	2	0	234503	28561	5
yerge	j3_	5	3	7	366463	12123	3
zomn	zQm	4	0	5	148745	0	3
woursh	w9S	6	0	15	849329	113577	3
gwa	gw#	3	0	0	252818	0	3
boughm	b9m	6	2	24	630518	88832	3
torce	t9s	5	2	26	1431632	14266	3
peip	p1p	4	1	26	120363	0	3
herdge	h3_	6	0	14	2094247	160009	3
holte	hQlt	5	0	3	367847	11876	4
drou	dr6	4	1	8	638316	47016	3
voine	v4n	5	2	12	660329	32320	3
phelse	fEls	6	0	5	2110015	27041	4
wrurck	r3k	6	0	24	196728	4156	3
theige	T1_	6	0	6	3842631	1367274	3
dwoomn	dwum	6	0	0	415861	13378	4
beagg	big	5	0	20	410005	6925	3
leate	lit	5	2	41	851547	86300	3
twiel	tw2l	5	2	4	325055	6710	4
thulch	TVlJ	6	0	1	2218947	4465	4
siph	sIf	4	3	17	55145	290	3
krep	krEp	4	2	7	413876	331	4
trurth	tr3T	6	0	2	2107502	24566	4
wreg	rEg	4	2	17	407210	723	3
smib	smIb	4	0	1	57842	4316	4
stoonn	stun	6	0	11	1626246	55251	4
ghreb	grEb	5	0	4	538583	13421	4
truitt	trut	6	0	10	477109	22961	4
healte	hilt	6	1	7	2212977	41379	4
peeph	pif	5	1	25	260667	16686	3
zautt	z9t	5	0	17	179212	332	3
squirn	skw3n	6	2	2	166641	13418	5
gnelce	nEls	6	0	3	340146	989	4
frosc	frQsk	5	1	2	375953	81155	5
shus	SVs	4	3	11	303616	4678	3
glorc	gl9k	5	0	0	475883	9838	4
kreull	krul	6	0	9	717401	9640	4
lif	lIf	3	5	19	163459	13844	3
droant	dr5nt	6	0	2	1016461	30654	5
praine	pr1n	6	1	16	821163	52447	4
serlt	s3lt	5	0	4	525180	2466	4
smabb	sm{b	5	0	5	120503	10326	4
celce	sEls	5	0	8	250492	1370	4
greche	grES	6	1	3	2394656	37485	4
shount	S6nt	6	0	5	912597	130194	4
koathe	k5D	6	1	11	4072491	1325039	3
rhirk	r3k	5	1	24	495965	5183	3
smazz	sm{z	5	0	3	119374	10074	4
sneebe	snib	6	1	4	535282	12390	4
prulk	prVlk	5	0	0	176585	3393	5
gaugg	g9g	5	1	13	84179	6403	3
slurgn	sl3n	6	0	6	118376	2394	4
sylmn	sIlm	5	0	4	6681	0	4
joog	_ug	4	0	9	166404	14	3
slarck	sl#k	6	0	9	435125	12435	4
ploarb	pl9b	6	0	0	394374	5904	4
teeb	tib	4	3	14	274658	2943	3
thruv	TrVv	5	1	4	1958339	34219	4
clolte	klQlt	6	0	2	299990	14688	5
swenck	swENk	6	0	1	494353	19302	5
ving	vIN	4	9	11	544530	29033	3
rarlte	r#lt	6	0	1	438194	1644	4
dwint	dwInt	5	0	0	711900	22023	5
snoath	sn5T	6	0	3	2522354	15168	4
clelmn	klElm	6	0	0	254775	7335	5
swulck	swVlk	6	0	1	189281	417	5
slerte	sl3t	6	0	13	522269	4400	4
heak	hik	4	11	34	2011797	34069	3
fuit	fut	4	3	27	395831	10988	3
yill	jIl	4	14	22	329691	67259	3
phrot	frQt	5	0	11	365030	22836	4
smaim	sm1m	5	0	0	316095	18089	4
keeph	kif	5	1	20	340317	19888	3
prag	pr{g	4	7	6	98623	4164	4
shett	SEt	5	1	29	1971190	81347	3
haimb	h1m	5	0	24	757175	12854	3
clewph	kluf	6	0	2	225905	7983	4
phlab	fl{b	5	0	8	104999	355	4
tymph	tImf	5	2	2	18046	207	4
kroont	krunt	6	0	2	654995	31428	5
ghleck	glEk	6	0	2	321751	4264	4
urlte	3lt	5	0	3	209558	550	3
zace	z1s	4	6	9	179044	26548	3
swuish	swuS	6	0	3	536290	7607	4
shrec	SrEk	5	2	3	592803	16125	4
rerck	r3k	5	0	24	707913	701	3
sciep	sk2p	5	0	10	80486	0	4
zirnte	z3nt	6	0	2	289902	775	4
splerv	spl3v	6	0	1	440379	7866	5
smolmn	smQlm	6	0	0	168597	2187	5
skrilc	skrIlk	6	0	0	216567	867	6
ghlymn	glIm	6	0	6	111944	192	4
leigue	l1g	6	1	18	295223	9697	3
stoagg	st5g	6	0	8	1264545	17769	4
froock	fruk	6	0	4	508111	101723	4
blermb	bl3m	6	0	5	421746	6133	4
flilph	flIlf	6	0	0	241665	3292	5
spreic	spr1k	6	0	3	582665	9844	5
spewph	spjuf	6	0	3	134988	10635	5
zadd	z{d	4	0	15	181256	1613	3
glarl	gl#l	5	1	1	371417	12540	4
whuive	wuv	6	0	12	465787	31610	3
chych	JIJ	5	0	16	404199	0	3
